2022-09-18 18:27:21.331 | INFO     | utils.twitter_utils:collect_all_user_tweets:93 - Beginning collection...
2022-09-18 18:44:41.084 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @SchaldemoseMEP
2022-09-18 19:00:09.559 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @DanielPrehn1
2022-09-18 19:15:36.899 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @DennisSchmock
2022-09-18 19:31:06.954 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @LotteRod
2022-09-18 19:46:34.951 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @LiseBech
2022-09-18 19:48:54.654 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - NotFound! Unable to collect tweets for @OleRevsgaard
2022-09-18 20:02:25.179 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @TommyPetersenDK
2022-09-18 20:18:34.181 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @JeppeBruus
2022-09-18 20:34:31.775 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @regeringDK
2022-09-18 20:50:02.781 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @aahlers
2022-09-18 21:06:00.884 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @uffeelbaek
2022-09-18 21:09:50.316 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - NotFound! Unable to collect tweets for @BodilKornbek
2022-09-18 21:21:36.315 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @JeppeKofod
2022-09-18 21:37:04.468 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @rikkelau
2022-09-18 21:52:33.191 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @LauraRosenvinge
2022-09-18 22:08:37.319 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @politikerpip
2022-09-18 22:10:33.324 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - NotFound! Unable to collect tweets for @skaarup_df
2022-09-18 22:24:06.744 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @fatmaoektem
2022-09-18 22:39:54.127 | ERROR    | utils.twitter_utils:collect_all_user_tweets:103 - TweepyException! Unable to collect tweets for @Enthybo
