2022-11-05 11:18:49.374 | INFO     | utils.twitter_utils:get_new_user_tweets:183 - Looking for new tweets since last extraction...
2022-11-05 11:18:50.015 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for AndersKuhnau
2022-11-05 11:18:50.083 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for stemsimonhansen
2022-11-05 11:18:50.149 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for Jonasbjorn
2022-11-05 11:18:50.232 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for Kvinderaadet
2022-11-05 11:18:50.302 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for miljoemin
2022-11-05 11:18:50.405 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for TommyPetersenDK
2022-11-05 11:18:50.466 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for PGraversgaard
2022-11-05 11:18:50.533 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for htgentofte
2022-11-05 11:18:50.599 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for CgaChristel
2022-11-05 11:18:50.667 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for perleberger
2022-11-05 11:18:50.757 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for KimDrejer
2022-11-05 11:18:50.839 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for mikkskovgaard
2022-11-05 11:18:50.913 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for KroghBerlingske
2022-11-05 11:18:50.986 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for flydtkjaer
2022-11-05 11:18:51.051 | ERROR    | utils.twitter_utils:get_new_user_tweets:197 - TypeError! Unable to collect tweets for UVM_dk
